type,begin_time,frequency,count,created with version,exported with version,project,last_name,first_name,born,sex,measurement_date,record_name
record,0,100,8560,Noraxon MR3 3.20.18,3.20.18,operator test,Hoang Trung Hieu,,,male,2023-07-21T09:30:08.334Z,running04-09
,,,,,,,,,,,,
time,Activity,Marker,LT Max Pressure (N/cm²),RT Max Pressure (N/cm²),,,,,Trials in Nexus,4,2023-07-21T09:30:22.726Z,
2.41,,,10.03301289,0,,,,,,,,
2.42,,,11.53274558,0,,,,,,,,
2.43,,,13.13884512,0,,,,,,,,
2.44,,,14.54204298,0,,,,,,,,
2.45,,,16.30908726,0,,,,,,,,
2.46,,,18.91807748,0,,,,,,,,
2.47,,,21.78130944,0,,,,,,,,
2.48,,,23.59049378,0,,,,,,,,
2.49,,,24.99932372,0,,,,,,,,
2.5,,,27.28466931,0,,,,,,,,
2.51,,,28.76412372,0,,,,,,,,
2.52,,,28.64334967,0,,,,,,,,
2.53,,,28.05712407,0,,,,,,,,
2.54,,,28.0184702,0,,,,,,,,
2.55,,,27.82903709,0,,,,,,,,
2.56,,,27.3856985,0,,,,,,,,
2.57,,,26.93549629,0,,,,,,,,
2.58,,,25.64673107,0,,,,,,,,
2.59,,,23.319824,0,,,,,,,,
2.6,,,20.89204759,0,,,,,,,,
2.61,,,18.06777099,0,,,,,,,,
2.62,,,14.81912357,0,,,,,,,,
2.63,,,12.00368519,0,,,,,,,,
2.64,,,9.886193402,0,,,,,,,,
2.65,,,8.076498583,0,,,,,,,,
2.66,,,7.180215615,0,,,,,,,,
2.67,,,8.352099948,0,,,,,,,,
2.68,,,0,0,,,,,,,,
2.69,,,0,0,,,,,,,,
2.7,,,0,0,,,,,,,,
2.71,,,0,0,,,,,,,,
2.72,,,0,0,,,,,,,,
2.73,,,0,0,,,,,,,,
2.74,,,0,0,,,,,,,,
2.75,,,0,0,,,,,,,,
2.76,,,0,0,,,,,,,,
2.77,,,0,0,,,,,,,,
2.78,,,0,0,,,,,,,,
2.79,,,0,13.33407762,,,,,,,,
2.8,,,0,13.4145359,,,,,,,,
2.81,,,0,13.23867337,,,,,,,,
2.82,,,0,13.29326552,,,,,,,,
2.83,,,0,14.0511554,,,,,,,,
2.84,,,0,15.31022213,,,,,,,,
2.85,,,0,16.97153333,,,,,,,,
2.86,,,0,18.88271845,,,,,,,,
2.87,,,0,20.76287942,,,,,,,,
2.88,,,0,22.3981505,,,,,,,,
2.89,,,0,23.66546872,,,,,,,,
2.9,,,0,24.78429076,,,,,,,,
2.91,,,0,26.00588347,,,,,,,,
2.92,,,0,27.16344456,,,,,,,,
2.93,,,0,28.22647177,,,,,,,,
2.94,,,0,28.89465348,,,,,,,,
2.95,,,0,29.19682477,,,,,,,,
2.96,,,0,29.2340723,,,,,,,,
2.97,,,0,28.83897396,,,,,,,,
2.98,,,0,27.45330223,,,,,,,,
2.99,,,0,25.1142352,,,,,,,,
3,,,0,21.94379353,,,,,,,,
3.01,,,0,18.18982308,,,,,,,,
3.02,,,0,14.60551175,,,,,,,,
3.03,,,0,11.91877442,,,,,,,,
3.04,,,0,10.12800809,,,,,,,,
3.05,,,0,8.463654152,,,,,,,,
3.06,,,0,6.612139889,,,,,,,,
3.07,,,0,5.471291194,,,,,,,,
3.08,,,0,6.295875118,,,,,,,,
3.09,,,0,0,,,,,,,,
3.1,,,0,0,,,,,,,,
3.11,,,0,0,,,,,,,,
3.12,,,0,0,,,,,,,,
3.13,,,0,0,,,,,,,,
3.14,,,0,0,,,,,,,,
3.15,,,0,0,,,,,,,,
3.16,,,0,0,,,,,,,,
3.17,,,0,0,,,,,,,,
3.18,,,0,0,,,,,,,,
3.19,,,0,0,,,,,,,,
3.2,,,10.5359507,0,,,,,,,,
3.21,,,10.96648408,0,,,,,,,,
3.22,,,12.19084449,0,,,,,,,,
3.23,,,13.20860563,0,,,,,,,,
3.24,,,14.001664,0,,,,,,,,
3.25,,,14.75314534,0,,,,,,,,
3.26,,,15.73240813,0,,,,,,,,
3.27,,,17.27652905,0,,,,,,,,
3.28,,,19.36732883,0,,,,,,,,
3.29,,,21.43194937,0,,,,,,,,
3.3,,,22.95211098,0,,,,,,,,
3.31,,,24.50241454,0,,,,,,,,
3.32,,,26.22211192,0,,,,,,,,
3.33,,,27.16438907,0,,,,,,,,
3.34,,,26.79633888,0,,,,,,,,
3.35,,,26.00959982,0,,,,,,,,
3.36,,,25.93049468,0,,,,,,,,
3.37,,,26.29359214,0,,,,,,,,
3.38,,,26.30628806,0,,,,,,,,
3.39,,,25.19029736,0,,,,,,,,
3.4,,,23.29372129,0,,,,,,,,
3.41,,,21.40015903,0,,,,,,,,
3.42,,,18.82419576,0,,,,,,,,
3.43,,,15.57073857,0,,,,,,,,
3.44,,,12.69658388,0,,,,,,,,
3.45,,,10.54656795,0,,,,,,,,
3.46,,,8.501449113,0,,,,,,,,
3.47,,,7.359461268,0,,,,,,,,
3.48,,,8.672719055,0,,,,,,,,
3.49,,,0,0,,,,,,,,
3.5,,,0,0,,,,,,,,
3.51,,,0,0,,,,,,,,
3.52,,,0,0,,,,,,,,
3.53,,,0,0,,,,,,,,
3.54,,,0,0,,,,,,,,
3.55,,,0,0,,,,,,,,
3.56,,,0,0,,,,,,,,
3.57,,,0,0,,,,,,,,
3.58,,,0,0,,,,,,,,
3.59,,,0,0,,,,,,,,
3.6,,,0,0,,,,,,,,
3.61,,,0,12.44857245,,,,,,,,
3.62,,,0,13.08510072,,,,,,,,
3.63,,,0,13.95785036,,,,,,,,
3.64,,,0,14.58332485,,,,,,,,
3.65,,,0,15.02794576,,,,,,,,
3.66,,,0,15.81006903,,,,,,,,
3.67,,,0,17.44215811,,,,,,,,
3.68,,,0,19.73284551,,,,,,,,
3.69,,,0,22.03854869,,,,,,,,
3.7,,,0,23.8797128,,,,,,,,
3.71,,,0,25.34712943,,,,,,,,
3.72,,,0,26.77296726,,,,,,,,
3.73,,,0,27.96930643,,,,,,,,
3.74,,,0,29.1724321,,,,,,,,
3.75,,,0,30.38005242,,,,,,,,
3.76,,,0,31.56845433,,,,,,,,
3.77,,,0,32.15456823,,,,,,,,
3.78,,,0,32.05097992,,,,,,,,
3.79,,,0,31.65647953,,,,,,,,
3.8,,,0,30.52177865,,,,,,,,
3.81,,,0,28.07423364,,,,,,,,
3.82,,,0,24.77844636,,,,,,,,
3.83,,,0,21.07624867,,,,,,,,
3.84,,,0,16.85301553,,,,,,,,
3.85,,,0,13.10280472,,,,,,,,
3.86,,,0,11.02776373,,,,,,,,
3.87,,,0,9.59079377,,,,,,,,
3.88,,,0,7.813862227,,,,,,,,
3.89,,,0,6.481417806,,,,,,,,
3.9,,,0,7.372334687,,,,,,,,
3.91,,,0,0,,,,,,,,
3.92,,,0,0,,,,,,,,
3.93,,,0,0,,,,,,,,
3.94,,,0,0,,,,,,,,
3.95,,,0,0,,,,,,,,
3.96,,,0,0,,,,,,,,
3.97,,,0,0,,,,,,,,
3.98,,,0,0,,,,,,,,
3.99,,,0,0,,,,,,,,
4,,,0,0,,,,,,,,
4.01,,,0,0,,,,,,,,
4.02,,,12.58407562,0,,,,,,,,
4.03,,,12.43665211,0,,,,,,,,
4.04,,,13.2531199,0,,,,,,,,
4.05,,,14.47781945,0,,,,,,,,
4.06,,,16.19373489,0,,,,,,,,
4.07,,,18.78288378,0,,,,,,,,
4.08,,,22.28464489,0,,,,,,,,
4.09,,,26.7862572,0,,,,,,,,
4.1,,,30.7806573,0,,,,,,,,
4.11,,,32.67251953,0,,,,,,,,
4.12,,,34.14834107,0,,,,,,,,
4.13,,,36.95627146,0,,,,,,,,
4.14,,,38.56046234,0,,,,,,,,
4.15,,,37.59176827,0,,,,,,,,
4.16,,,35.38240455,0,,,,,,,,
4.17,,,33.96470163,0,,,,,,,,
4.18,,,33.56919372,0,,,,,,,,
4.19,,,32.13910682,0,,,,,,,,
4.2,,,28.20283663,0,,,,,,,,
4.21,,,23.64418051,0,,,,,,,,
4.22,,,21.32549498,0,,,,,,,,
4.23,,,20.64757659,0,,,,,,,,
4.24,,,18.89151216,0,,,,,,,,
4.25,,,15.75425863,0,,,,,,,,
4.26,,,13.06653433,0,,,,,,,,
4.27,,,11.11990449,0,,,,,,,,
4.28,,,9.252330074,0,,,,,,,,
4.29,,,8.104018869,0,,,,,,,,
4.3,,,9.237454105,0,,,,,,,,
4.31,,,0,0,,,,,,,,
4.32,,,0,0,,,,,,,,
4.33,,,0,0,,,,,,,,
4.34,,,0,0,,,,,,,,
4.35,,,0,0,,,,,,,,
4.36,,,0,0,,,,,,,,
4.37,,,0,0,,,,,,,,
4.38,,,0,0,,,,,,,,
4.39,,,0,0,,,,,,,,
4.4,,,0,0,,,,,,,,
4.41,,,0,0,,,,,,,,
4.42,,,0,10.93886132,,,,,,,,
4.43,,,0,10.89631467,,,,,,,,
4.44,,,0,12.80487503,,,,,,,,
4.45,,,0,15.49097298,,,,,,,,
4.46,,,0,18.37333521,,,,,,,,
4.47,,,0,20.63492477,,,,,,,,
4.48,,,0,22.37385908,,,,,,,,
4.49,,,0,24.45072899,,,,,,,,
4.5,,,0,26.72658189,,,,,,,,
4.51,,,0,28.76565594,,,,,,,,
4.52,,,0,30.33061593,,,,,,,,
4.53,,,0,31.37416383,,,,,,,,
4.54,,,0,32.2697993,,,,,,,,
4.55,,,0,33.20350907,,,,,,,,
4.56,,,0,33.79925375,,,,,,,,
4.57,,,0,33.84534322,,,,,,,,
4.58,,,0,33.63784672,,,,,,,,
4.59,,,0,33.16099093,,,,,,,,
4.6,,,0,32.01240076,,,,,,,,
4.61,,,0,30.05215619,,,,,,,,
4.62,,,0,27.74492052,,,,,,,,
4.63,,,0,24.94143538,,,,,,,,
4.64,,,0,21.23600577,,,,,,,,
4.65,,,0,17.12518445,,,,,,,,
4.66,,,0,13.28630988,,,,,,,,
4.67,,,0,10.11756947,,,,,,,,
4.68,,,0,7.919936844,,,,,,,,
4.69,,,0,6.351508288,,,,,,,,
4.7,,,0,5.484535256,,,,,,,,
4.71,,,0,6.615199899,,,,,,,,
4.72,,,0,0,,,,,,,,
4.73,,,0,0,,,,,,,,
4.74,,,0,0,,,,,,,,
4.75,,,0,0,,,,,,,,
4.76,,,0,0,,,,,,,,
4.77,,,0,0,,,,,,,,
4.78,,,0,0,,,,,,,,
4.79,,,0,0,,,,,,,,
4.8,,,0,0,,,,,,,,
4.81,,,0,0,,,,,,,,
4.82,,,0,0,,,,,,,,
4.83,,,0,0,,,,,,,,
4.84,,,10.74391468,0,,,,,,,,
4.85,,,11.14066168,0,,,,,,,,
4.86,,,12.46540946,0,,,,,,,,
4.87,,,13.60238216,0,,,,,,,,
4.88,,,14.62198874,0,,,,,,,,
4.89,,,15.84893334,0,,,,,,,,
4.9,,,17.52335163,0,,,,,,,,
4.91,,,19.25283974,0,,,,,,,,
4.92,,,20.82428192,0,,,,,,,,
4.93,,,22.35704533,0,,,,,,,,
4.94,,,23.651414,0,,,,,,,,
4.95,,,24.73708021,0,,,,,,,,
4.96,,,25.50473888,0,,,,,,,,
4.97,,,26.26857403,0,,,,,,,,
4.98,,,26.90651758,0,,,,,,,,
4.99,,,27.44547816,0,,,,,,,,
5,,,27.9619976,0,,,,,,,,
5.01,,,28.12481189,0,,,,,,,,
5.02,,,27.35940199,0,,,,,,,,
5.03,,,25.59940063,0,,,,,,,,
5.04,,,23.37920994,0,,,,,,,,
5.05,,,20.91827444,0,,,,,,,,
5.06,,,18.57911291,0,,,,,,,,
5.07,,,15.96257401,0,,,,,,,,
5.08,,,12.95379094,0,,,,,,,,
5.09,,,10.24994733,0,,,,,,,,
5.1,,,8.307082514,0,,,,,,,,
5.11,,,6.664754319,0,,,,,,,,
5.12,,,5.765651817,0,,,,,,,,
5.13,,,6.825390521,0,,,,,,,,
5.14,,,0,0,,,,,,,,
5.15,,,0,0,,,,,,,,
5.16,,,0,0,,,,,,,,
5.17,,,0,0,,,,,,,,
5.18,,,0,0,,,,,,,,
5.19,,,0,0,,,,,,,,
5.2,,,0,0,,,,,,,,
5.21,,,0,0,,,,,,,,
5.22,,,0,0,,,,,,,,
5.23,,,0,0,,,,,,,,
5.24,,,0,0,,,,,,,,
5.25,,,0,10.70421186,,,,,,,,
5.26,,,0,10.80436612,,,,,,,,
5.27,,,0,12.02453782,,,,,,,,
5.28,,,0,13.67477375,,,,,,,,
5.29,,,0,15.74561228,,,,,,,,
5.3,,,0,17.96235993,,,,,,,,
5.31,,,0,19.82715266,,,,,,,,
5.32,,,0,21.76672413,,,,,,,,
5.33,,,0,24.20680341,,,,,,,,
5.34,,,0,26.6936662,,,,,,,,
5.35,,,0,28.50888518,,,,,,,,
5.36,,,0,29.78188688,,,,,,,,
5.37,,,0,31.05042495,,,,,,,,
5.38,,,0,32.34724972,,,,,,,,
5.39,,,0,33.45526589,,,,,,,,
5.4,,,0,34.2119516,,,,,,,,
5.41,,,0,34.43838609,,,,,,,,
5.42,,,0,34.28680904,,,,,,,,
5.43,,,0,33.6683112,,,,,,,,
5.44,,,0,32.05787751,,,,,,,,
5.45,,,0,29.2734195,,,,,,,,
5.46,,,0,26.07003135,,,,,,,,
5.47,,,0,22.84099729,,,,,,,,
5.48,,,0,19.12064741,,,,,,,,
5.49,,,0,15.10536903,,,,,,,,
5.5,,,0,11.87042111,,,,,,,,
5.51,,,0,9.606948256,,,,,,,,
5.52,,,0,7.827250175,,,,,,,,
5.53,,,0,6.224004224,,,,,,,,
5.54,,,0,5.227157441,,,,,,,,
5.55,,,0,6.131505262,,,,,,,,
5.56,,,0,0,,,,,,,,
5.57,,,0,0,,,,,,,,
5.58,,,0,0,,,,,,,,
5.59,,,0,0,,,,,,,,
5.6,,,0,0,,,,,,,,
5.61,,,0,0,,,,,,,,
5.62,,,0,0,,,,,,,,
5.63,,,0,0,,,,,,,,
5.64,,,0,0,,,,,,,,
5.65,,,0,0,,,,,,,,
5.66,,,7.953750274,0,,,,,,,,
5.67,,,8.59080844,0,,,,,,,,
5.68,,,10.36178635,0,,,,,,,,
5.69,,,11.81342826,0,,,,,,,,
5.7,,,12.75044032,0,,,,,,,,
5.71,,,13.69231604,0,,,,,,,,
5.72,,,15.01846882,0,,,,,,,,
