Left cycle,Left start,Left end,Stance left,percent_stance_left,Initial swing left,Percent initial left,Mid swing left,Percent mid swing left ,Terminal left,Percent termial left
44,3681,3764,3681,0.34523809523809523,3710,0.16666666666666666,3724,0.35714285714285715,3754,0.13095238095238096
45,3765,3846,3765,0.35365853658536583,3794,0.13414634146341464,3805,0.3902439024390244,3837,0.12195121951219512
46,3847,3927,3847,0.35802469135802467,3876,0.13580246913580246,3887,0.38271604938271603,3918,0.12345679012345678
47,3928,4009,3928,0.36585365853658536,3958,0.13414634146341464,3969,0.35365853658536583,3998,0.14634146341463414
48,4010,4092,4010,0.3493975903614458,4039,0.14457831325301204,4051,0.3614457831325301,4081,0.14457831325301204
49,4093,4174,4093,0.35365853658536583,4122,0.14634146341463414,4134,0.3780487804878049,4165,0.12195121951219512
50,4175,4257,4175,0.3614457831325301,4205,0.13253012048192772,4216,0.3614457831325301,4246,0.14457831325301204
51,4258,4339,4258,0.35365853658536583,4287,0.13414634146341464,4298,0.3780487804878049,4329,0.13414634146341464
52,4340,4420,4340,0.35802469135802467,4369,0.16049382716049382,4382,0.37037037037037035,4412,0.1111111111111111
53,4421,4502,4421,0.36585365853658536,4451,0.13414634146341464,4462,0.36585365853658536,4492,0.13414634146341464
54,4503,4583,4503,0.37037037037037035,4533,0.13580246913580246,4544,0.37037037037037035,4574,0.12345679012345678
55,4584,4663,4584,0.375,4614,0.1125,4623,0.3875,4654,0.125
56,4664,4744,4664,0.35802469135802467,4693,0.13580246913580246,4704,0.37037037037037035,4734,0.13580246913580246
57,4745,4825,4745,0.345679012345679,4773,0.16049382716049382,4786,0.37037037037037035,4816,0.12345679012345678
58,4826,4905,4826,0.3625,4855,0.1375,4866,0.3875,4897,0.1125
59,4906,4985,4906,0.375,4936,0.125,4946,0.3875,4977,0.1125
60,4986,5067,4986,0.35365853658536583,5015,0.13414634146341464,5026,0.36585365853658536,5056,0.14634146341463414
61,5068,5148,5068,0.345679012345679,5096,0.14814814814814814,5108,0.38271604938271603,5139,0.12345679012345678
62,5149,5229,5149,0.35802469135802467,5178,0.13580246913580246,5189,0.3950617283950617,5221,0.1111111111111111
63,5230,5311,5230,0.35365853658536583,5259,0.14634146341463414,5271,0.36585365853658536,5301,0.13414634146341464
64,5312,5390,5312,0.34177215189873417,5339,0.1518987341772152,5351,0.379746835443038,5381,0.12658227848101267
65,5391,5469,5391,0.3670886075949367,5420,0.12658227848101267,5430,0.4050632911392405,5462,0.10126582278481013
